category,definition,terms
,,
, (US Coast Guard) Maritime Security System,MARSEC
, (US Department of Homeland Seurity) National Security Advisory System,NTAS
, (World Health Organization) Global Alert and Response,GAR
," 1,2-dibromo-3-chloropropane",DBCP
, A textural parameter used for CBVWE computations (Halliburton),WQ 
, A Well On Test,OT 
, Abandonment,ABAN 
, Above ground marker,AGM
, above mean sea level,AMSL 
, Absolute open flow,AOF
, absolute open-flow potential,AOFP 
, acid gas removal unit,AGRU 
, Acoustic,ACOU 
, Acoustic Doppler Current Profile (system),ADCP
, acoustic log report,ALR 
, Acquisition log,ACQU 
, activated methyldiethanolamine,aMDEA 
, Active Fire Protection,AFP 
, active pipe support,APS 
, Actuator running tool,ART 
, Advance notice of proposed rulemaking,ANPR
, advanced rock properties report,ADROC 
, aertical seismic profile acoustic log calibration report,ALC 
, After action reviews,AAR
, Air-Cooled Heat Exchanger,ACHE 
, airgun,AIRG 
, airgun report,AIRRE 
, Alaminos Canyon Gulf of Mexico leasing area,AC
, Alberta Boilers Safety Association,ABSA 
, along hole (depth) below Derrick floor,AHBDF 
, along hole depth,AHD 
, Alternate isolation valve,AIV
, Alternate response technologies,ART
, American Association of Drilling Engineers,AADE
, American Association of Oilwell Drilling Contractors (obsolete; superseded by IADC),AAODC 
, American Association of Petroleum Geologists,AAPG
, American Association of Professional Landmen,AAPL 
, American Bureau of Shipping,ABS
, American Institute of Chemical Engineers,AIChE
," American Institute of Mining, Metallurgical, and Petroleum Engineers",AIME
, American National Standards Institute,ANSI
, American Petroleum Institute,API
, American Petroleum Institute: organization which sets unit standards in the oil and gas industry,API 
, American Society for Nondestructive Testing,ASNT
, American Society for Testing and Materials,ASTM 
, American Society of Chemical Engineers,ASCE
, American Society of Mechanical Engineers,ASME
, Amplitude (in Seismics),WAV3 
, Amplitude variation with offset (seismic),AVO
, An IADC standard for well control training,WellCAP
, Anadarko Petroleum Corp.,APC
, analysis of core logs report,ANACO 
, analysis of reservoir,ARESV 
, analysis report,ANARE 
, Annual performance review,APR
, Annular casing pressure,ACP
, Annular flow valve,AFV
, annular safety valve,ASV 
, annular velocity or apparent viscosity,AV 
, Annulus Access Valve,AAV 
, annulus master valve,AMV 
, annulus surface controlled sub-surface valve,ASCSSV 
, annulus wing block/valve (XT),AWB/V 
, Annum,A
, Apalachicola Gulf of Mexico leasing area,AP
, Application for permit to drill,APD
, Application for permit to modify,APM
, application to drill,ATD 
, Application to drill - modification,APM
," Applied Drilling Technology, ADT log",ADT 
, Appraisal (well),A 
," appraisal license (United Kingdom), a type of onshore licence issued before 1996",AL 
, appraisal report,APPRE 
, approval for well operation,AWO 
, Area contingency plan,ACP
, area of mutal interest,AMI 
, Area of potential effect,APE
